,,,,,,,,,(0명/0명),
134,도봉구 방학동,신방학중학교,234명,82.70%,92.30%,78.60%,77.30%,0.00%,0명,143명
,,,,,,,,,(0명/0명),
135,송파구 풍납동,풍성중학교,148명,82.60%,88.50%,82.50%,77.00%,4.90%,7명,142명
,,,,,,,,,(1명/6명),
136,강남구 신사동,신구중학교,127명,82.60%,89.00%,80.30%,78.70%,8.60%,10명,115명
,,,,,,,,,(2명/8명),
137,관악구 봉천동,구암중학교,425명,82.60%,90.60%,81.90%,75.30%,2.00%,8명,386명
,,,,,,,,,(7명/1명),
138,성북구 동소문동1가,삼선중학교,193명,82.50%,87.00%,81.90%,78.80%,4.50%,7명,154명
,,,,,,,,,(2명/5명),
139,성동구 성수동1가,성수중학교,116명,82.40%,93.10%,79.30%,75.00%,0.00%,0명,88명
,,,,,,,,,(0명/0명),
140,구로구 오류동,오남중학교,174명,82.40%,93.70%,81.70%,72.00%,1.50%,3명,191명
,,,,,,,,,(0명/3명),
141,송파구 풍납동,풍납중학교,147명,82.40%,87.80%,80.40%,79.00%,0.00%,0명,129명
,,,,,,,,,(0명/0명),
142,관악구 봉천동,서울문영여자중학교,125명,82.40%,92.80%,80.00%,74.40%,2.70%,3명,110명
,,,,,,,,,(0명/3명),
143,강동구 성내동,성내중학교,227명,82.20%,92.50%,80.20%,74.00%,1.00%,2명,184명
,,,,,,,,,(2명/0명),
144,강서구 등촌동,등명중학교,251명,82.00%,89.60%,78.50%,78.10%,0.90%,2명,214명
,,,,,,,,,(1명/1명),
145,강동구 둔촌동,동북중학교,217명,82.00%,86.20%,82.00%,77.90%,0.00%,0명,109명
,,,,,,,,,(0명/0명),
146,송파구 거여동,거원중학교,211명,82.00%,92.00%,80.10%,73.90%,0.00%,0명,134명
,,,,,,,,,(0명/0명),
147,노원구 상계동,상원중학교,238명,81.90%,91.20%,81.90%,72.70%,1.90%,3명,157명
,,,,,,,,,(0명/3명),
148,송파구 오금동,세륜중학교,191명,81.80%,91.70%,79.60%,74.30%,0.70%,1명,135명
,,,,,,,,,(0명/1명),
149,중구 신당동,한양중학교,95명,81.70%,85.30%,85.30%,74.70%,3.20%,2명,61명
,,,,,,,,,(2명/0명),
150,영등포구 문래동6가,문래중학교,209명,81.60%,89.90%,77.50%,77.50%,2.10%,4명,190명
,,,,,,,,,(2명/2명),
151,마포구 신수동,광성중학교,148명,81.50%,87.20%,83.80%,73.60%,0.00%,0명,92명
,,,,,,,,,(0명/0명),
152,영등포구 양평동3가,선유중학교,194명,81.40%,88.70%,80.40%,75.30%,0.60%,1명,144명
,,,,,,,,,(1명/0명),
153,중구 정동,창덕여자중학교,79명,81.40%,92.40%,81.00%,70.90%,5.70%,4명,69명
,,,,,,,,,(0명/4명),
154,노원구 공릉동,한천중학교,314명,81.30%,92.00%,79.60%,72.30%,2.60%,6명,225명
,,,,,,,,,(1명/5명),
155,서대문구 북아현동,중앙여자중학교,103명,81.20%,94.20%,79.60%,69.90%,0.00%,0명,85명
,,,,,,,,,(0명/0명),
156,광진구 자양동,자양중학교,282명,81.20%,90.80%,78.70%,74.10%,2.70%,6명,222명
,,,,,,,,,(0명/6명),
157,송파구 송파동,일신여자중학교,195명,81.20%,91.80%,80.50%,71.30%,1.50%,2명,127명
,,,,,,,,,(0명/2명),
158,성북구 종암동,서울대학교사범대학부설중학교,258명,81.10%,88.00%,78.70%,76.70%,4.90%,11명,223명
,,,,,,,,,(5명/6명),
159,구로구 구로동,구일중학교,198명,81.10%,90.90%,80.30%,72.20%,3.30%,5명,150명
,,,,,,,,,(1명/4명),
160,양천구 목동,영도중학교,195명,81.00%,87.20%,75.40%,80.50%,0.80%,1명,122명
,,,,,,,,,(1명/0명),
161,노원구 공릉동,공릉중학교,311명,80.90%,90.40%,80.40%,72.00%,1.30%,3명,219명
,,,,,,,,,(1명/2명),
162,성동구 행당동,무학중학교,344명,80.60%,90.40%,77.60%,73.80%,3.60%,9명,250명
,,,,,,,,,(4명/5명),
163,서초구 우면동,영동중학교,285명,80.50%,93.30%,76.50%,71.90%,1.50%,4명,263명
,,,,,,,,,(1명/3명),
164,동대문구 전농동,전농중학교,176명,80.50%,89.20%,76.80%,75.70%,2.20%,3명,135명
,,,,,,,,,(0명/3명),
165,동작구 흑석동,중앙대학교사범대학부속중학교,289명,80.50%,90.30%,79.60%,71.60%,1.60%,3명,184명
,,,,,,,,,(1명/2명),
166,노원구 상계동,수락중학교,145명,80.40%,83.40%,80.70%,77.30%,0.00%,0명,148명
,,,,,,,,,(0명/0명),
167,용산구 청파동3가,신광여자중학교,131명,80.40%,93.90%,78.60%,68.70%,1.20%,1명,78명
,,,,,,,,,(0명/1명),
168,중구 신당동,대경중학교,140명,80.20%,87.90%,76.40%,76.40%,0.00%,0명,93명
,,,,,,,,,(0명/0명),
169,금천구 시흥동,동일중학교,218명,80.10%,92.70%,78.00%,69.70%,1.00%,2명,186명
,,,,,,,,,(0명/2명),
170,강동구 길동,신명중학교,303명,80.00%,90.10%,76.20%,73.90%,0.00%,0명,176명
,,,,,,,,,(0명/0명),
171,강남구 수서동,수서중학교,135명,80.00%,92.60%,80.80%,66.70%,0.60%,1명,148명
,,,,,,,,,(0명/1명),
172,서대문구 연희동,연북중학교,173명,80.00%,90.80%,76.40%,72.80%,1.80%,2명,107명
,,,,,,,,,(2명/0명),
173,중구 신당동,장충중학교,104명,79.70%,91.30%,74.00%,74.00%,0.00%,0명,58명
,,,,,,,,,(0명/0명),
174,강동구 강일동,강명중학교,179명,79.70%,90.50%,75.40%,73.20%,2.00%,3명,150명
,,,,,,,,,(0명/3명),
175,송파구 장지동,문현중학교,249명,79.60%,88.40%,76.70%,73.90%,4.80%,9명,187명
,,,,,,,,,(1명/8명),
176,관악구 봉천동,인헌중학교,267명,79.60%,91.40%,75.30%,72.30%,2.30%,4명,167명
,,,,,,,,,(2명/2명),
177,송파구 풍납동,영파여자중학교,141명,79.60%,93.60%,78.70%,66.70%,0.00%,0명,105명
,,,,,,,,,(0명/0명),
178,동작구 본동,동양중학교,137명,79.50%,91.20%,74.50%,73.00%,2.50%,3명,120명
,,,,,,,,,(1명/2명),
179,양천구 신월동,강신중학교,335명,79.40%,91.00%,74.00%,73.40%,1.20%,3명,236명
,,,,,,,,,(0명/3명),
180,동대문구 신설동,대광중학교,178명,79.30%,89.30%,78.60%,70.20%,1.60%,2명,119명
,,,,,,,,,(0명/2명),
181,성북구 정릉3동,북악중학교,176명,79.30%,90.40%,78.40%,69.30%,2.40%,3명,122명
,,,,,,,,,(1명/2명),
182,중랑구 상봉동,상봉중학교,290명,79.30%,87.60%,77.60%,72.70%,2.80%,6명,212명
,,,,,,,,,(3명/3명),
183,은평구 갈현동,선일여자중학교,241명,79.20%,93.80%,77.60%,66.40%,0.60%,1명,146명
,,,,,,,,,(0명/1명),
184,강동구 암사동,신암중학교,255명,79.20%,87.50%,78.40%,71.80%,1.00%,2명,189명
,,,,,,,,,(1명/1명),
185,동작구 신대방동,문창중학교,164명,79.10%,91.50%,75.80%,70.10%,1.40%,2명,137명
,,,,,,,,,(1명/1명),
186,성동구 성수동1가,경일중학교,127명,79.00%,90.50%,76.40%,70.10%,2.00%,2명,97명
,,,,,,,,,(1명/1명),
187,서초구 방배동,이수중학교,212명,78.90%,89.20%,75.90%,71.70%,0.00%,0명,133명
,,,,,,,,,(0명/0명),
188,마포구 성산동,홍익대학교사범대학부속여자중학교,155명,78.90%,91.60%,80.60%,64.50%,2.60%,3명,112명
,,,,,,,,,(1명/2명),
189,성동구 옥수동,옥정중학교,236명,78.90%,86.90%,77.20%,72.60%,0.50%,1명,180명
,,,,,,,,,(0명/1명),
190,동대문구 휘경동,전동중학교,164명,78.80%,92.10%,74.40%,70.10%,1.30%,2명,146명
,,,,,,,,,(1명/1명),
191,송파구 오금동,보인중학교,246명,78.80%,87.00%,76.40%,73.20%,0.60%,1명,154명
,,,,,,,,,(0명/1명),
192,노원구 중계동,중원중학교,294명,78.80%,89.80%,72.80%,73.80%,3.00%,6명,197명
,,,,,,,,,(0명/6명),
193,구로구 고척동,고척중학교,413명,78.60%,87.10%,75.30%,73.40%,1.80%,6명,320명
,,,,,,,,,(0명/6명),
194,성동구 마장동,마장중학교,157명,78.50%,89.80%,76.40%,69.40%,0.80%,1명,116명
,,,,,,,,,(0명/1명),
195,노원구 월계동,광운중학교,164명,78.40%,87.20%,76.80%,71.30%,2.00%,3명,147명
,,,,,,,,,(1명/2명),
196,금천구 독산동,안천중학교,176명,78.40%,90.90%,76.70%,67.60%,0.00%,0명,136명
,,,,,,,,,(0명/0명),
197,광진구 구의동,동국대학교사범대학부속여자중학교,204명,78.20%,92.60%,80.90%,61.30%,0.70%,1명,129명
,,,,,,,,,(0명/1명),
198,동대문구 전농동,전일중학교,185명,78.20%,89.70%,73.50%,71.40%,1.30%,2명,146명
,,,,,,,,,(0명/2명),
199,서초구 양재동,언남중학교,184명,78.00%,90.20%,73.90%,70.10%,0.00%,0명,122명
,,,,,,,,,(0명/0명),
200,강동구 상일동,상일여자중학교,101명,77.90%,89.10%,73.30%,71.30%,4.60%,3명,64명
,,,,,,,,,(0명/3명),
201,관악구 신림동,삼성중학교,143명,77.80%,90.20%,72.70%,70.60%,3.10%,3명,94명
,,,,,,,,,(2명/1명),
202,강동구 강일동,강동중학교,200명,77.80%,88.50%,75.50%,69.50%,2.60%,5명,191명
,,,,,,,,,(0명/5명),
203,종로구 송현동,덕성여자중학교,84명,77.80%,92.90%,73.80%,66.70%,0.00%,0명,57명
,,,,,,,,,(0명/0명),
204,강서구 등촌동,등원중학교,150명,77.80%,86.00%,76.70%,70.70%,1.00%,1명,93명
,,,,,,,,,(0명/1명),
